"year","LS0A11CD","LS0A11NM","c1","c2","c3","c4","c5","c0","male","female","unknowsex","avgage","PNT_COUNT","PERCENTAGE","FREQUENCY","SUM_Field15","total_incidents"
"2019","E01000001","City of London 001A","8","33","16","2","7","0","37","29","0","49","","","","","66"
"2019","E01000002","City of London 001B","12","69","23","3","NULL","1","67","53","2","46","","","","","122"
"2019","E01000003","City of London 001C","9","27","8","1","6","6","27","26","1","67","","","","","57"
"2019","E01000005","City of London 001E","22","81","23","2","12","0","65","72","3","39","","","","","140"
"2019","E01000006","Barking and Dagenham 016A","8","23","10","NULL","1","0","20","24","1","34","7","0.005955622","3","11","48"
"2019","E01000007","Barking and Dagenham 015A","21","102","39","11","173",,"92","75","6","38","7","0.005955622","4","26",
"2019","E01000008","Barking and Dagenham 015B","4","24","14","2","NULL","0","35","17","0","40","3","0.002552409","3","35","53"
"2019","E01000009","Barking and Dagenham 016B","9","51","9","2","NULL","0","41","32","2","43","","","","","75"
"2019","E01000010","Barking and Dagenham 015C","25","121","37","NULL","17","0","121","76","3","38","12","0.010209638","4","73","200"
"2019","E01000011","Barking and Dagenham 016C","5","38","9","NULL","56",,"33","22","0","46","4","0.003403213","3","11",
"2019","E01000012","Barking and Dagenham 015D","14","54","13","NULL","87",,"40","46","1","27","4","0.003403213","3","14",
"2019","E01000013","Barking and Dagenham 013A","9","52","25","1","12","1","47","51","2","48","","","","","100"
"2019","E01000014","Barking and Dagenham 013B","8","38","12","4","62",,"26","35","0","42","6","0.005104819","4","15",
"2019","E01000015","Barking and Dagenham 009A","3","22","11","1","NULL","0","16","22","1","47","9","0.007657228","4","16","40"
"2019","E01000016","Barking and Dagenham 009B","12","35","11","NULL","1","0","19","39","2","44","4","0.003403213","4","15","62"
"2019","E01000017","Barking and Dagenham 009C","6","29","8","1","NULL","1","17","30","1","47","3","0.002552409","4","9","49"
"2019","E01000018","Barking and Dagenham 009D","5","44","7","4","60",,"35","24","1","41","2","0.001701606","4","13",
"2019","E01000019","Barking and Dagenham 023A","22","7","1","1","31",,"18","13","0","49","3","0.002552409","4","15",
"2019","E01000020","Barking and Dagenham 023B","7","43","15","3","NULL","1","33","39","2","49","1","0.000850803","4","10","75"
"2019","E01000021","Barking and Dagenham 008A","2","36","15","3","1","0","33","22","2","46","10","0.008508032","4","13","57"
"2019","E01000022","Barking and Dagenham 008B","2","20","4","3","1","0","12","18","0","49","7","0.005955622","4","12","30"
"2019","E01000023","Barking and Dagenham 008C","7","83","19","1","NULL","0","62","52","2","49","5","0.004254016","4","37","116"
"2019","E01000024","Barking and Dagenham 008D","4","26","3","4","37",,"20","17","0","48","1","0.000850803","3","11",
"2019","E01000025","Barking and Dagenham 008E","6","42","11","3","3","1","34","32","0","52","3","0.002552409","4","15","66"
"2019","E01000027","Barking and Dagenham 001A","1","38","9","2","6","0","25","28","2","51","1","0.000850803","4","24","56"
"2019","E01000028","Barking and Dagenham 001B","13","63","32","2","NULL","1","52","74","5","53","5","0.004254016","4","16","131"
